UC2_Literal,Report Number,Report Date,Location,Lat,Long
LARCENY-FROM VEHICLE,180310061,1/31/18,691 PENN AVE NE,33.77338,-84.37856
LARCENY-FROM VEHICLE,180310146,1/31/18,543 STOKESWOOD AVE SE,33.73949,-84.34501
LARCENY-FROM VEHICLE,180310161,1/31/18,437 MORELAND AVE NE,33.76632,-84.34892
LARCENY-FROM VEHICLE,180310488,1/31/18,976 GILBERT ST SE,33.72787,-84.35055
LARCENY-FROM VEHICLE,180310584,1/31/18,2470 CHESHIRE BRIDGE RD NE,33.82236,-84.35173
LARCENY-FROM VEHICLE,180310728,1/31/18,515 JOHN WESLEY DOBBS AVE NE,33.75912,-84.3726
LARCENY-FROM VEHICLE,180310925,1/31/18,1055 PIEDMONT AVE NE,33.78346,-84.37931
LARCENY-FROM VEHICLE,180311725,1/31/18,171 CLEVELAND AVE SW,33.68156,-84.39458
LARCENY-FROM VEHICLE,180311996,1/31/18,2200 CAMPBELLTON RD SW,33.7053,-84.46047
LARCENY-FROM VEHICLE,180312414,1/31/18,3393 PEACHTREE RD,33.84676,-84.36212
LARCENY-FROM VEHICLE,180312534,1/31/18,957 VIRGINIA AVE,33.78198,-84.35605
LARCENY-FROM VEHICLE,180310810,1/31/18,395 CENTRAL PARK PL NE,33.76536,-84.3777
LARCENY-FROM VEHICLE,180311511,1/31/18,2798 PEEK RD NW,33.77743,-84.47815
LARCENY-FROM VEHICLE,180312529,1/31/18,880 GLENWOOD AVE SE,33.73991,-84.35917
LARCENY-NON VEHICLE,180311416,1/31/18,1086 MONROE DR NE,33.78439,-84.36815
LARCENY-NON VEHICLE,180310552,1/31/18,3535 NORTHSIDE PKWY NW,33.85087,-84.42902
LARCENY-NON VEHICLE,180310875,1/31/18,465 MEMORIAL DR SE,33.74651,-84.37221
LARCENY-NON VEHICLE,180311017,1/31/18,3378 GREENBRIAR PKWY SW,33.68299,-84.50129
LARCENY-NON VEHICLE,180281387,1/31/18,555 MCDANIEL ST,33.7404,-84.4026
LARCENY-NON VEHICLE,180310903,1/31/18,1229 MILTON TER SE,33.72124,-84.38177
LARCENY-NON VEHICLE,180311299,1/31/18,565 MAIN ST NE,33.8224,-84.36851
LARCENY-NON VEHICLE,180311451,1/31/18,2974 BENJAMIN E MAYS DR SW,33.73154,-84.4847
LARCENY-NON VEHICLE,180311877,1/31/18,924 STONEWALL DR SE,33.69138,-84.35883
LARCENY-NON VEHICLE,180312113,1/31/18,941 ORMEWOOD AVE SE,33.73415,-84.35682
AUTO THEFT,180310123,1/31/18,264 HUNNICUTT ST NW,33.76655,-84.39554
AUTO THEFT,180311290,1/31/18,2980 JONESBORO RD SE,33.67339,-84.37144
ROBBERY-PEDESTRIAN,180310247,1/31/18,2350 CHESHIRE BRIDGE RD NE,33.8195,-84.35199
ROBBERY-PEDESTRIAN,180310249,1/31/18,1305 OAKLAND DR SW @OAKLAND CITY PARK,33.71896,-84.42892
ROBBERY-PEDESTRIAN,180312381,1/31/18,1695 MARIETTA BLVD NW,33.80092,-84.43451
ROBBERY-PEDESTRIAN,180312606,1/31/18,520 FLAT SHOALS AVE SE,33.73951,-84.34459
AGG ASSAULT,180310884,1/31/18,515 FULTON ST SW,33.741,-84.40447
AGG ASSAULT,180312351,1/31/18,1080 PEACHTREE ST NE,33.78398,-84.38339
BURGLARY-RESIDENCE,180311512,1/31/18,960 E PACES FERRY RD NE,33.84691,-84.35618
BURGLARY-RESIDENCE,180311925,1/31/18,517 8TH ST NE,33.77928,-84.37015
BURGLARY-RESIDENCE,180312077,1/31/18,747 MATILDA PL NW,33.77529,-84.44276
BURGLARY-RESIDENCE,180312134,1/31/18,807 BONNEVILLE TER NW,33.77778,-84.50452
BURGLARY-RESIDENCE,180312480,1/31/18,4 WHATLEY ST SE,33.70709,-84.37923
BURGLARY-RESIDENCE,180312584,1/31/18,3760 BRANCH DR SW,33.7493,-84.51144
BURGLARY-RESIDENCE,180312633,1/31/18,4065 SOUTHWOOD CIR SW,33.69549,-84.52088
BURGLARY-NONRES,180310712,1/31/18,3235 PACES FERRY PL NW,33.84316,-84.38168
BURGLARY-NONRES,180310798,1/31/18,1634 LAKEWOOD AVE SE,33.70965,-84.37962
BURGLARY-RESIDENCE,180310817,1/31/18,2151 BELVEDERE AVE SW,33.72092,-84.45879
BURGLARY-RESIDENCE,180311585,1/31/18,1483 WESTWOOD AVENUE SW,33.73832,-84.43619
BURGLARY-RESIDENCE,180312266,1/31/18,2868 ENGLE RD NW,33.76959,-84.48106
LARCENY-NON VEHICLE,180311154,1/31/18,2525 PIEDMONT RD NE @HOME DEPOT,33.824,-84.36521
LARCENY-NON VEHICLE,180311661,1/31/18,850 OAK ST SW @WESTEND MALL,33.74053,-84.41671
LARCENY-NON VEHICLE,180312206,1/31/18,500 PEACHTREE ST NE,33.76878,-84.38535
LARCENY-NON VEHICLE,180312336,1/31/18,835 MARTIN L KING JR DR NW,33.75504,-84.41457
LARCENY-NON VEHICLE,180300886,1/30/18,835 MARTIN L KING JR DR NW,33.75504,-84.41457
LARCENY-NON VEHICLE,180301562,1/30/18,3393 PEACHTREE RD NE @LENOX MALL,33.84676,-84.36212
LARCENY-NON VEHICLE,180301794,1/30/18,950 W PEACHTREE ST NW @PUBLIX - W PEACHTREE,33.78014,-84.38747
LARCENY-NON VEHICLE,180302224,1/30/18,3730 CARMIA DR SW @PUBLIX - CARMIA,33.65573,-84.5109
LARCENY-NON VEHICLE,180302606,1/30/18,1380 ATLANTIC DR NW @PUBLIX - ATLANTIC,33.79282,-84.39779
BURGLARY-NONRES,180300565,1/30/18,1203 W PACES FERRY RD NW,33.85005,-84.4274
BURGLARY-NONRES,180300834,1/30/18,100 W PACES FERRY RD NW,33.84124,-84.38418
BURGLARY-NONRES,180301030,1/30/18,2399 PARKLAND DR NE,33.8201,-84.36481
BURGLARY-RESIDENCE,180301329,1/30/18,2061 VERBENA ST NW,33.75444,-84.45389
BURGLARY-RESIDENCE,180301480,1/30/18,1854 CUMMINGS DR SW,33.71685,-84.44848
LARCENY-NON VEHICLE,173161436,1/30/18,835 MARTIN LUTHER KING JR DR,33.75504,-84.41457
BURGLARY-RESIDENCE,180301309,1/30/18,142 DAHLIA AVE NW,33.75789,-84.46238
BURGLARY-RESIDENCE,180301439,1/30/18,1374 LAKEWOOD AVE SE,33.71693,-84.38134
BURGLARY-RESIDENCE,180302173,1/30/18,349 DECATUR ST SE,33.74988,-84.37788
AGG ASSAULT,180302605,1/30/18,1791 THOMASVILLE DR SE,33.70276,-84.35729
AGG ASSAULT,180300839,1/30/18,780 CUSTER AVE SE,33.71714,-84.3608
