id,count
2611,1300.0
981,68.0
2299,139.0
450,42.0
1889,49.0
3073,67.0
3021,268.0
2216,41.0
973,220.0
3145,405.0
1295,63.0
1012,52.0
101,109.0
710,1757.0
2271,208.0
3897,119.0
982,64.0
1011,50.0
3136,48.0
2880,43.0
860,92.0
1004,16.0
2343,11.0
1665,86.0
1665,19.0
2936,79.0
3523,67.0
1665,222.0
1489,56.0
2420,76.0
1047,375.0
551,207.0
1200,13.0
2232,11.0
1478,71.0
1410,70.0
2619,52.0
4054,37.0
1764,95.0
1409,26.0
1764,45.0
3007,13.0
514,77.0
1833,48.0
1276,46.0
1475,319.0
3321,17.0
3804,36.0
2547,30.0
2363,40.0
2213,15.0
1294,14.0
2882,16.0
1276,36.0
1142,75.0
2443,46.0
3133,41.0
533,114.0
3001,17.0
2417,18.0
476,12.0
871,34.0
2551,26.0
2080,14.0
2938,56.0
1896,11.0
3624,10.0
2473,15.0
2805,45.0
2284,16.0
1238,16.0
1679,14.0
1988,20.0
3264,44.0
55,10.0
2616,24.0
2626,46.0
1839,11.0
1665,29.0
937,119.0
85,97.0
1836,80.0
287,13.0
1390,18.0
222,24.0
1046,37.0
3059,28.0
3062,42.0
3135,43.0
1342,16.0
2263,48.0
3787,23.0
2758,49.0
2856,25.0
1857,10.0
3053,117.0
2143,14.0
1688,14.0
2072,13.0
2674,29.0
3311,11.0
3201,28.0
2213,10.0
2936,13.0
2164,12.0
3977,11.0
2239,47.0
1882,17.0
2410,21.0
1,19.0
3523,23.0
1142,45.0
1276,15.0
3590,11.0
3464,18.0
3971,12.0
2080,20.0
1010,28.0
3191,24.0
2308,21.0
1274,24.0
2791,12.0
3804,14.0
1933,12.0
1004,16.0
3739,10.0
2154,11.0
2989,18.0
2871,13.0
1342,40.0
2354,41.0
2354,12.0
2478,21.0
4262,22.0
861,19.0
3002,10.0
2213,20.0
2015,10.0
805,10.0
450,15.0
604,33.0
947,16.0
2919,11.0
2325,13.0
3842,26.0
1665,17.0
3715,20.0
1839,23.0
1613,11.0
1839,30.0
4042,20.0
1665,16.0
3523,16.0
2685,10.0
2611,17.0
155,10.0
683,10.0
2165,31.0
160,10.0
2006,14.0
2935,11.0
3376,10.0
2740,15.0
1553,12.0
1680,11.0
2475,10.0
2487,10.0
2873,23.0
1266,11.0
862,11.0
1410,6.0
82,10.0
2299,11.0
2166,12.0
351,8.0
1371,6.0
1293,10.0
2073,11.0
2621,18.0
2872,11.0
914,12.0
1731,10.0
