name,latitude,longitude
Piedmont Park,33.788323,-84.371683
Lullwater Park,33.80188,-84.314267
Cascade Springs Nature Preserve,33.718727,-84.479759
Lenox Park,33.8488136388997,-84.3457328729913
Morningside Nature Preserve,33.8076823937547,-84.3600413857327
Centennial Olympic Park,33.7604246335228,-84.3931636619166
Brookhaven Park,33.8655047756139,-84.340329282989
The Duck Pond,33.8251977,-84.3851478
Tower Place Park,33.8485167779574,-84.3702444434166
Grant Park,33.7316456437111,-84.3735656887293
Chastain Park,33.8745544180784,-84.3905171333273
Historic Fourth Ward Park,33.7684692,-84.3666918
Tanyard Creek Park,33.81105,-84.40395
Inman Park,33.759801835453,-84.3544738408929
Mason Mill Park,33.8074638,-84.3071325
Old Mill Park,34.014518737793,-84.3587188720703
Dancing Bear Labyrinth,33.744682,-84.374458
Chattahoochee River National Recreation Area,33.987079,-84.325656
Morgan Falls Overlook Park,33.970656,-84.380481
Frankie Allen Park,33.8368453979492,-84.3731307983398
Perkerson Park,33.7119216918945,-84.4130783081055
Rottenwood Creek Trail,33.86913,-84.46142
Hahn Woods,33.8037903606892,-84.3226251751184
Peachtree Hills Park,33.8187103271484,-84.3769912719727
Big Trees Forest Preserve,33.9649147662074,-84.3637599625824
Murphey Candler Park,33.9086540008385,-84.3226812788208
Glenwood Park,33.7406845092773,-84.3573226928711
Little Nancy Creek Park,33.8639140191592,-84.3588309827603
Candler Park,33.7649751490544,-84.3389537930489
Orme Park,33.785775653393,-84.3623036737167
Hammond Park,33.9181409080872,-84.3618070197128
Ashford Park,33.8754119873047,-84.3258590698242
Glenlake Park,33.783794,-84.293167
Chattahoochee River National Recreation Area - East Palisades,33.8880073425008,-84.4335794448853
Noble Park,33.8014831756806,-84.344733953476
Underwood Hills Park,33.804925,-84.416491
Medlock Park,33.803495,-84.294965
Springvale Park,33.7578941931655,-84.3574843193115
Abernathy Greenway Park,33.9362896600339,-84.3858859884558
Dresden Park,33.8673647319444,-84.2975756898522
Shady Valley Park,33.8297,-84.35199
Eastside BeltLine,33.75788,-84.366239
Freedom Park,33.7711,-84.359365
East Cobb Park,33.9790115,-84.4534302
Chattahoochee River National Recreation Area Palisades Unit,33.8695135584351,-84.4543898047286
Winn Park,33.7900145351887,-84.3807312101126
Cochran Shoals Trail,33.9028361692828,-84.4415024780792
Henderson Park,33.8639978,-84.2333442
Blackburn Park,33.8939011842012,-84.3282524496317
McDaniel Farm Park,33.9683720393142,-84.1280079815914
Clyde Shepherd Nature Preserve,33.80682,-84.28304
Dearborn Park,33.75652,-84.28671
Blue Heron Nature Preserve,33.8652819,-84.3808257
Keswick Park,33.892153725028,-84.3133360147476
Jonquil Park,33.8833700863091,-84.4833588972688
Elwyn John Wildlife Sanctuary,33.8229064941406,-84.3265151977539
Chattahoochee River National Recreation Area Vickery Creek,34.0170340183772,-84.3531415756556
Woodlands Garden,33.786563873291,-84.3035430908203
Skyline Park,33.772684,-84.365672
Atlanta Memorial Park,33.817046,-84.400733
Heritage Park,33.8387493495546,-84.5423042512207
Whittier Mill Park,33.8105165484708,-84.4851939276012
Bessie Branham Park,33.7542878988835,-84.3209313220714
Spink-Collins Park,33.8138183,-84.4636083
Sope Creek,33.939164,-84.442486
Zonolite Park,33.80557278719,-84.3417173583107
Trammell Crow Park,33.730670573599,-84.5534378306734
Constitution Lakes Park and Wilderness Area,33.6828041,-84.347641
Jones Bridge Park,34.0003366023302,-84.2323661595583
Whitewater Creek Trail,33.877694,-84.442175
Ardmore Park,33.8064586274879,-84.3996609002352
McKoy Park,33.757597,-84.29891
Brook Run Kids Park,33.9346291869594,-84.2948790639639
WD Thomson Park,33.81004,-84.31652
Thrasher Park,33.9432067871094,-84.2139129638672
Kittredge Park,33.82396,-84.32872
Jacci Fuller Woodland and Garden Park,33.723988,-84.3510003151068
Lake Claire Community Land Trust,33.7616256,-84.3305766
Dunwoody Nature Center,33.956672,-84.332842
Shoupade Park,33.8367325380433,-84.4923993619853
Brook Run Park,33.9331391080616,-84.2984521556331
Deepdene Park,33.7730131496421,-84.3206111714244
Brownwood Park Recreation Center,33.7367157620459,-84.3465581908822
The Metro Atlanta Urban Farm,33.6668189,-84.4445966
Sweetwater Creek State Park,33.752387,-84.628623
Indian Creek Park,33.8410263835316,-84.3589397806771
Briarlake Forest Park,33.8437242195965,-84.2712407559156
Woodruff Park,33.755286721411,-84.3884539604187
Cobb Park,33.8856475,-84.5270278
Scott Park Garden,33.77342,-84.29338
Park at Pernoshal Court,33.9263459872998,-84.3092466518283
Panola Mountain State Park,33.6231859498669,-84.1738475550171
John Howell Memorial Park,33.782108,-84.358891
Sidney Marcus Park,33.79673,-84.361403
Washington Park,33.7567849,-84.4239141
Wills Park,34.0710045185485,-84.3077087402344
Grove Park Recreation Center,33.7747768947398,-84.4379071464756
