name,latitude,longitude
Viva La Vegan,33.72044,-84.42459
Big Daddy's Discount Meat,33.7204437255859,-84.4245834350586
Jamrock Jerk Center,33.7213401794434,-84.407600402832
Package Store,33.7214939,-84.4080006
Sam & Son Grocery Wholesale,33.7209091,-84.3976212
Sam & Son Grocery Wholesale,33.7209091,-84.3976212
All American Package Store,33.72137,-84.39309
Texaco,33.7216185485462,-84.3937496468425
All American Package Store,33.72137,-84.39309
Community Grounds,33.719275,-84.385386
Carver Neighborhood Market,33.7190664550323,-84.3851576184007
Piggly Wiggly,33.7201,-84.3503
Popeyes Louisiana Kitchen,33.721572,-84.349803
Mix'd Up,33.7206274596517,-84.3478775024414
It Takes the Cupcake,33.721642,-84.343475
Viva La Vegan,33.72044,-84.42459
Big Daddy's Discount Meat,33.7204437255859,-84.4245834350586
Wings & Seafood,33.72166,-84.40828
Jamrock Jerk Center,33.7213401794434,-84.407600402832
Package Store,33.7214939,-84.4080006
Chevron,33.7218547461525,-84.4081219285727
GQ's Bar B Que,33.722239,-84.398957
Sam & Son Grocery Wholesale,33.7209091,-84.3976212
Brook's Family Restaurant,33.7223205566406,-84.3990325927734
Sam & Son Grocery Wholesale,33.7209091,-84.3976212
All American Package Store,33.72137,-84.39309
Shell,33.722408,-84.393114
Texaco,33.7216185485462,-84.3937496468425
JJ Fish & Chicken,33.7222803278841,-84.3928086226151
Yum's Sub Shop,33.723404,-84.390643
Wendy's,33.721828,-84.392301
All American Package Store,33.72137,-84.39309
Subway Restaurants,33.7230100693536,-84.3928598240018
Shell,33.722408,-84.393114
Yum's Sub Shop,33.723404,-84.390643
JJ's Country Cooking,33.72352,-84.34971
Popeyes Louisiana Kitchen,33.721572,-84.349803
Little Caesars,33.7224015616024,-84.3498927116417
Southeast Package Store,33.72335,-84.34981
Burger King,33.7234,-84.349188
China King Restaurant,33.7225429,-84.3492806
Mix'd Up,33.7206274596517,-84.3478775024414
American Deli,33.721947,-84.347897
Kroger,33.722557,-84.347806
Pizza Hut,33.721719,-84.3480135527315
Burger King,33.7234,-84.349188
Atomic Ice Cream Sandwich,33.723039,-84.3436881
It Takes the Cupcake,33.721642,-84.343475
Just Strawberries & Chocolate,33.72382,-84.33656
Flawless Cakes,33.7380447387695,-84.3420944213867
Magalie's Bon gateau,33.73768,-84.34276
Delights by Dawn,33.7380447387695,-84.3420944213867
The Mad Greek,33.45666,-84.59444
Apache Café,33.72425167,-84.41677
Brook's Family Restaurant,33.7223205566406,-84.3990325927734
Shell,33.722408,-84.393114
JJ Fish & Chicken,33.7222803278841,-84.3928086226151
Yum's Sub Shop,33.723404,-84.390643
Subway Restaurants,33.7230100693536,-84.3928598240018
Shell,33.722408,-84.393114
Yum's Sub Shop,33.723404,-84.390643
